ProgId,pThreads,Mem_Hits,Mem_Misses,Mem_Latency,L1_Sets,L1_Latency,L1_Hits,L1_Misses,L2_Sets,L2_Latency,L2_Hits,L2_Misses,L3_Hits,L3_Misses,Instructions,InstructionsPerSecond,SimTime,Cycles,CyclesPerSecond,CommittedInstructions,CommittedInstructionsPerCycle,CommittedMicroInstructions,CommittedMicroInstructionsPerCycle,BranchPredictionAccuracy
13,1,0.0,3977.0,250,64,3,336078.0,3977.0,2048,25,2169.0,0,0.0,4613.0,1447210,14894,502446.00,2009784,20684,949482,0.4724,1711524,0.8516,0.8675
13,1,0.0,3988.0,250,128,4,329208.0,3988.0,1024,25,1093.0,0,0.0,4468.0,1440033,14382,530658.25,2122633,21199,949427,0.4473,1711431,0.8063,0.868
13,1,0.0,3984.0,300,64,4,328282.0,3984.0,2048,25,2169.0,0,0.0,4619.0,1440169,14307,572651.25,2290605,22755,949425,0.4145,1711427,0.7472,0.8674
13,2,0.0,4026.0,200,64,3,226184.0,4219.0,1024,18,2284.0,0,738.0,5121.0,1493904,14867,415268.00,1661072,16530,979423,0.5896,1767960,1.064,0.87
13,2,0.0,4033.0,200,128,3,229944.0,4071.0,1024,25,1223.0,0,739.0,5039.0,1498877,14957,417430.00,1669720,16662,985280,0.5901,1778001,1.065,0.8718
13,2,0.0,4027.0,250,64,3,225874.0,4202.0,2048,25,2282.0,0,735.0,5135.0,1493797,14818,455202.00,1820808,18062,979085,0.5377,1767388,0.9707,0.8699
13,2,0.0,4040.0,250,128,4,220363.0,4110.0,1024,25,1201.0,0,738.0,5052.0,1491504,14856,473634.25,1894537,18870,983025,0.5189,1774137,0.9364,0.8711
13,2,0.0,4034.0,300,64,4,217947.0,4215.0,2048,25,2291.0,0,738.0,5173.0,1485521,14480,513437.25,2053749,20018,977059,0.4757,1763907,0.8589,0.8693
13,32,0.0,4747.0,200,64,3,249343.0,123765.0,1024,18,3320.0,0,23587.0,16256.0,7835929,9014,640327.00,2561308,2947,6481429,2.531,10714832,4.183,0.964
13,32,0.0,4747.0,200,128,3,278518.0,130003.0,1024,25,1866.0,0,23453.0,16040.0,8017877,9028,652747.00,2610988,2940,6664928,2.553,10977663,4.204,0.9651
13,4,0.0,4085.0,200,64,3,248701.0,4940.0,1024,18,2386.0,0,1913.0,5827.0,1960648,15024,424771.00,1699084,13020,1413374,0.8318,2459839,1.448,0.9175
13,4,0.0,4090.0,200,128,3,256535.0,4682.0,1024,25,1273.0,0,1924.0,5773.0,1985653,15602,429296.00,1717184,13492,1440157,0.8387,2503011,1.458,0.9201
13,4,0.0,4082.0,250,64,3,248628.0,4911.0,2048,25,2387.0,0,1929.0,5855.0,1963843,14884,466193.00,1864772,14133,1416949,0.7599,2464736,1.322,0.9179
13,4,0.0,4092.0,250,128,4,217288.0,4695.0,1024,25,1266.0,0,1914.0,5691.0,1953863,14070,479576.25,1918305,13814,1406011,0.7329,2448523,1.276,0.9171
13,4,0.0,4088.0,300,64,4,212942.0,4842.0,2048,25,2390.0,0,1909.0,5780.0,1940935,14523,518746.25,2074985,15526,1390361,0.6701,2422713,1.168,0.9151
